Altium Designer Pick and Place Locations
C:\Users\Intel\AppData\Local\TempReleases\Snapshot\1\Assembly\Pick Place\Pick Place for PCB_RobotESP32.csv

========================================================================================================================
File Design Information:

Date:       31/10/23
Time:       13:25
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U2","ESP32 Custom","TopLayer","PCB-v7o6mlcnvy9ltvisia1k-2","1.2750","42.9823","90","Eval Board For ESP-WROOM-32 - 38pin module with 8.4mm header"
"R15","1 k","BottomLayer","CAPC2013X94X50ML20T25","10.4250","49.7000","180","Res Thick Film 0805 330 Ohm 1% 1/8W ±100ppm/°C Molded SMD SMD"
"R26","1 K","BottomLayer","CAPC2013X94X50ML20T25","-0.1750","40.1750","90","Res Thick Film 0805 330 Ohm 1% 1/8W ±100ppm/°C Molded SMD SMD"
"J8","HC-S04","TopOverlay","PCB-hddxo6oxno0y1grizy36-1","-19.1900","24.3000","90","KK 254 Solid Header, Vertical, with Friction Lock, 4 Circuits, Tin (Sn) Plating"
"X1","OBO 1206A","TopOverlay","PCB-o5yglm5fvhcnnvl903n6-1","39.6055","35.0000","180","Audio Buzzer Piezo 85dB"
"VR1","Trimmer 1/2W","TopLayer","PCB-5abvnr99iwiiosfurk6j-1","-52.1484","-33.9140","90","Res Cermet Trimmer 2K Ohm 10% 1/2W 25(Elec)Turn 2.19mm (9.53 X 4.83 X 11.55mm) Pin Thru-Hole Tube"
"U","MT3608 Module","BottomLayer","MT3608-Module","0.0750","-10.7000","0","MT3608 Module DC - DC Boost"
"SW5","TE Connectivity 1825910-6","TopLayer","PCB-s0s7ww4bjhs8rpuf9xpk-1","43.8000","-27.2890","0","Switch Push Button OFF (ON) SPST Round Button 0.05A 24VDC Momentary Contact PC Pins Thru-Hole"
"SW4","TE Connectivity 1825910-6","TopLayer","PCB-s0s7ww4bjhs8rpuf9xpk-1","43.8000","-36.1640","0","Switch Push Button OFF (ON) SPST Round Button 0.05A 24VDC Momentary Contact PC Pins Thru-Hole"
"SW3","TE Connectivity 1825910-6","TopLayer","PCB-s0s7ww4bjhs8rpuf9xpk-1","-43.8000","-36.1640","180","Switch Push Button OFF (ON) SPST Round Button 0.05A 24VDC Momentary Contact PC Pins Thru-Hole"
"SW2","TE Connectivity 1825910-6","TopLayer","PCB-s0s7ww4bjhs8rpuf9xpk-1","-43.8000","-27.2890","180","Switch Push Button OFF (ON) SPST Round Button 0.05A 24VDC Momentary Contact PC Pins Thru-Hole"
"SW1","C&K Components OS102011MA1QS1","TopLayer","PCB-a78kgj8v3nza1899t3lg-1","45.6516","-46.6640","0","Switch Slide ON ON SPDT Side Slide 0.1A 12VDC 10000Cycle PC Pins Bracket Mount/Through Hole Bulk"
"R33","1 k","TopLayer","CAPC2013X94X50ML20T25","2.1750","33.8750","180","Res Thick Film 0805 330 Ohm 1% 1/8W ±100ppm/°C Molded SMD SMD"
"R32","47 k","TopLayer","CAPC2013X94X50ML20T25","6.8000","33.4750","0","Res Thick Film 0805 330 Ohm 1% 1/8W ±100ppm/°C Molded SMD SMD"
"R31","2 k","BottomLayer","CAPC2013X94X50ML20T25","-23.0000","20.8000","270","Res Thick Film 0805 330 Ohm 1% 1/8W ±100ppm/°C Molded SMD SMD"
"R30","1 k","BottomLayer","CAPC2013X94X50ML20T25","-20.4750","20.8000","90","Res Thick Film 0805 330 Ohm 1% 1/8W ±100ppm/°C Molded SMD SMD"
"R29","1 k","BottomLayer","CAPC2013X94X50ML20T25","-5.1000","36.8750","0","Res Thick Film 0805 330 Ohm 1% 1/8W ±100ppm/°C Molded SMD SMD"
"R28","1 K","BottomLayer","CAPC2013X94X50ML20T25","-8.9500","32.4000","180","Res Thick Film 0805 330 Ohm 1% 1/8W ±100ppm/°C Molded SMD SMD"
"R27","1 k","BottomLayer","CAPC2013X94X50ML20T25","2.5000","37.3500","0","Res Thick Film 0805 330 Ohm 1% 1/8W ±100ppm/°C Molded SMD SMD"
"R25","330","TopLayer","CAPC2013X94X50ML20T25","-29.0750","27.3750","270","Res Thick Film 0805 330 Ohm 1% 1/8W ±100ppm/°C Molded SMD SMD"
"R24","330","TopLayer","CAPC2013X94X50ML20T25","-26.0250","27.3750","270","Res Thick Film 0805 330 Ohm 1% 1/8W ±100ppm/°C Molded SMD SMD"
"R23","220","BottomLayer","CAPC2013X94X50ML20T25","-36.6500","55.3500","90","Res Thick Film 0805 330 Ohm 1% 1/8W ±100ppm/°C Molded SMD SMD"
"R22","220","BottomLayer","CAPC2013X94X50ML20T25","36.6500","55.3500","270","Res Thick Film 0805 330 Ohm 1% 1/8W ±100ppm/°C Molded SMD SMD"
"R21","220","BottomLayer","CAPC2013X94X50ML20T25","26.6500","60.9250","270","Res Thick Film 0805 330 Ohm 1% 1/8W ±100ppm/°C Molded SMD SMD"
"R20","220","BottomLayer","CAPC2013X94X50ML20T25","2.5250","46.5000","90","Res Thick Film 0805 330 Ohm 1% 1/8W ±100ppm/°C Molded SMD SMD"
"R19","220","BottomLayer","CAPC2013X94X50ML20T25","-26.6750","60.9250","90","Res Thick Film 0805 330 Ohm 1% 1/8W ±100ppm/°C Molded SMD SMD"
"R18","330","BottomLayer","CAPC2013X94X50ML20T25","-48.3250","-24.9750","90","Res Thick Film 0805 330 Ohm 1% 1/8W ±100ppm/°C Molded SMD SMD"
"R17","3k7","BottomLayer","CAPC2013X94X50ML20T25","3.8250","16.8750","270","Res Thick Film 0805 330 Ohm 1% 1/8W ±100ppm/°C Molded SMD SMD"
"R16","4k7","BottomLayer","CAPC2013X94X50ML20T25","1.2750","16.8750","270","Res Thick Film 0805 330 Ohm 1% 1/8W ±100ppm/°C Molded SMD SMD"
"R14","1 k","TopLayer","CAPC2013X94X50ML20T25","51.9500","-26.2000","90","Res Thick Film 0805 330 Ohm 1% 1/8W ±100ppm/°C Molded SMD SMD"
"R13","1 k","TopLayer","CAPC2013X94X50ML20T25","51.0500","-42.1750","180","Res Thick Film 0805 330 Ohm 1% 1/8W ±100ppm/°C Molded SMD SMD"
"R12","1 k","BottomLayer","CAPC2013X94X50ML20T25","2.7500","-23.3000","90","Res Thick Film 0805 330 Ohm 1% 1/8W ±100ppm/°C Molded SMD SMD"
"R11","330","BottomLayer","CAPC2013X94X50ML20T25","3.7000","-32.7250","270","Res Thick Film 0805 330 Ohm 1% 1/8W ±100ppm/°C Molded SMD SMD"
"R10","330","BottomLayer","CAPC2013X94X50ML20T25","-27.3750","55.3500","270","Res Thick Film 0805 330 Ohm 1% 1/8W ±100ppm/°C Molded SMD SMD"
"R9","330","BottomLayer","CAPC2013X94X50ML20T25","27.3750","55.3500","270","Res Thick Film 0805 330 Ohm 1% 1/8W ±100ppm/°C Molded SMD SMD"
"R8","330","BottomLayer","CAPC2013X94X50ML20T25","21.4000","64.4500","0","Res Thick Film 0805 330 Ohm 1% 1/8W ±100ppm/°C Molded SMD SMD"
"R7","330","BottomLayer","CAPC2013X94X50ML20T25","-6.1500","49.9750","180","Res Thick Film 0805 330 Ohm 1% 1/8W ±100ppm/°C Molded SMD SMD"
"R6","330","BottomLayer","CAPC2013X94X50ML20T25","-22.3250","64.5499","0","Res Thick Film 0805 330 Ohm 1% 1/8W ±100ppm/°C Molded SMD SMD"
"R5","330","BottomLayer","CAPC2013X94X50ML20T25","-48.3250","-31.9500","270","Res Thick Film 0805 330 Ohm 1% 1/8W ±100ppm/°C Molded SMD SMD"
"R4","330","BottomLayer","CAPC2013X94X50ML20T25","48.3500","-38.4750","270","Res Thick Film 0805 330 Ohm 1% 1/8W ±100ppm/°C Molded SMD SMD"
